//dados

nCid = ["Belo Horizonte" "Juiz de Fora" "Sabará" "Ubá" "Ituiutaba" "Paracatu" "Itabirito" 
        "Salinas" "Extrema" "Mateus Leme" "Cambuí" "Mutum" "Juatuba" "Ibiá" "Pedra Azul" 
        "Itaobim" ];
        
nFaz = ["Uberaba" "Unaí" "Sacramento" "Ponte Nova"];
        
s = [2970000 2910000 2375000 1264000]; //capacidade de produção das fazendas

f = [1600000 1132000 1028000 1023000 1020000  1017000  1007000  1005000  1004000  1002000  1002000  1001000  1001000  1001000  1001000  1000000]; //custo de abrir uma UPM em cada cidade

deo = [50242 11378 2727 2312 2094 1864 1038 831 725 622 592 540 539 504 487 422]; // demanda de oleo

da = [75363 17067 4091 3467 3141 2795 1557 1246 1087 933 887 810 809 756 730 632]; // demanda de amido

df = [401932 91020 21816 18489 16748 14906 8300 6645 5796 4974 4729 4317 4312 4032 3892 3370]; // demanda de farinha

c1 = [ [483  729 494 746 243 378 524 891 494 441 540 859 432 184 1039 1028] //distancia fazenda-cidade
	 [601 853 613 870 542 104 648 785 931 636 886 978 628 445 933 970] 
	 [449 698 463 715 320 443 493 870 509 410 506 828 401 153 1018 997] 
	 [182 216 204 108 842 675 128 737 647 229 602 227 221 493 645 91] ];

c2 = [ [5 266 13 341 675 503 57 639 478 62 315 384 53 321 761 670] // distancia cidade-cidade
	   [266 5 283 111 294 755 258 892 427 311 382 392 302 573 841 750] 
	   [13 283 5 302 688 515 79 652 492 76 447 379 67 338 773 682] 
	   [341 111 302 5 941 772 234 909 522 328 477 332 319 590 753 662] 
	   [675 294 688 941 5 473 717 983 737 634 783 1053 625 378 1131 1168] 
	   [503 755 515 772 473 5 550 687 832 538 787 881 529 347 835 872] 
	   [57 258 79 234 717 550 5 686 522 106 477 356 97 368 807 717] 
	   [320 892 652 909 983 687 686 5 1087 671 1042 708 662 775 152 186] 
       [478 427 492 522 737 832 522 1087 5 459 46 854 464 557 1213 1122] 
	   [62 311 76 328 634 538 106 671 459 5 414 441 14 285 796 705] 
	   [315 382 447 477 783 787 477 1042 46 414 5 813 419 512 1168 1077] 
       [384 392 379 332 1053 881 356 708 854 441 813 5 450 721 616 526] 
	   [53 302 67 319 625 529 97 662 464 14 419 450 5 276 788 697] 
       [321 573 338 590 378 347 368 775 557 285 512 721 276 5 922 872] 
	   [761 841 773 753 1131 835 807 152 1213 796 1168 616 788 922 5 90] 
       [670 750 682 662 1168 872 717 186 1122 705 1077 526 697 872 90 5]] ;
